ID_number,Protein_name,Protein_function
SERK2_ORYSJ,LRR receptor kinase SERK2 (EC 2.7.11.1) (BRI1-associated receptor kinase 1 homolog 2) (OsBAK1-2) (Somatic embryogenesis receptor kinase 2) (OsSERK2),FUNCTION: LRR receptor kinase involved in positive regulation of somatic embryogenesis and defense response against the rice blast fungus pathogen Magnaporthe oryzae (PubMed:15968510). Involved in the positive regulation of receptor kinase-mediated immunity. Required for immunity mediated by the LRR receptor kinases XA21 and XA26/XA3 which recognize effectors from the bacterial pathogen Xanthomonas oryzae pv. oryzae (Xoo). Required for the immune response mediated by the LRR receptor kinase FLS2 which recognizes specifically the bacterial flagellin (flg22) effector. Kinase activity and direct interaction with the immune receptors is critical for their function (PubMed:24482436). Involved in the regulation of plant growth through the brassinosteroid (BR) signaling pathway (PubMed:19754838; PubMed:24482436). {ECO:0000269|PubMed:15968510; ECO:0000269|PubMed:19754838; ECO:0000269|PubMed:24482436}.
EXOS5_ORYSJ,Exosome complex exonuclease RRP46 homolog (EC 3.1.13.-) (Exosome component 5) (Ribosomal RNA-processing protein 46) (oRrp46),FUNCTION: Probable component of the exosome 3'->5' exoribonuclease complex; a complex that degrades inherently unstable mRNAs containing AU-rich elements (AREs) within their 3'-untranslated regions. May form a homodimer separately from exosome complexes and function in DNA cleavage process. Binds double-stranded DNA (dsDNA) and single-stranded RNA (ssRNA); and possesses hydrolytic DNase and phosphorolytic RNase activities in vitro. {ECO:0000269|PubMed:20660080}.
CEBIP_ORYSJ,Chitin elicitor-binding protein (CEBiP) (OsCEBiP) (Lysin motif-containing protein 1) (Os-LYP1),FUNCTION: Chitin elicitor-binding protein involved in the perception and transduction of chitin oligosaccharide elicitor signal for defense responses. {ECO:0000269|PubMed:16829581; ECO:0000269|PubMed:21070404; ECO:0000269|PubMed:22891159}.
BGL06_ORYSJ,Beta-glucosidase 6 (Os3bglu6) (EC 3.2.1.21),FUNCTION: Hydrolyzes glycosides; oligosaccharides and hydrophobic glycosides (PubMed:19587102). Possesses gibberellin ester beta-D-glucosidase activity. Can hydrolyze gibberellin A4 beta-D-glucosyl ester in vitro (PubMed:23811195). {ECO:0000269|PubMed:19587102; ECO:0000269|PubMed:23811195}.
HXK6_ORYSJ,Hexokinase-6 (EC 2.7.1.1) (Hexokinase-2),FUNCTION: Fructose and glucose phosphorylating enzyme (PubMed:16552590). Functions as a glucose sensor for plant growth and photosynthesis (PubMed:19010999). {ECO:0000269|PubMed:16552590; ECO:0000269|PubMed:19010999}.
HD1_ORYSJ,Zinc finger protein HD1 (Protein CONSTANS-like) (Protein HEADING DATE 1) (OsHd1) (Protein PHOTOPERIOD SENSITIVITY 1),FUNCTION: Probable transcription factor involved in the regulation of flower development. Required for the promotion of flowering under short day (SD) conditions and the suppression of flowering under long day (LD) conditions. Positively regulates the floral activator HEADING DATE 3a (HD3A) under SD and negatively under LD conditions. {ECO:0000269|PubMed:12700762}.
G3OX2_ORYSJ,Gibberellin 3-beta-dioxygenase 2 (EC 1.14.11.15) (GA 3-oxidase 2) (OsGA3ox2) (Gibberellin 3 beta-hydroxylase 2) (Protein DWARF18),FUNCTION: Catalyzes the 3-beta-hydroxylation of the inactive gibberellin precursors; leading to the formation of bioactive gibberellins. In vitro; converts the precursors GA20; GA5; GA44 and GA9 to the corresponding 3-beta-hydroxylated active products GA1; GA3; GA38 and GA4; respectively. Involved in the production of bioactive GA for vegetative growth and development (PubMed:11438692). Controls the elongation of the vegetative shoot and plant height by the regulation of active gibberellin levels (Ref.7). {ECO:0000269|PubMed:11438692; ECO:0000269|Ref.7}.
AGAL_ORYSJ,Alpha-galactosidase (EC 3.2.1.22) (Alpha-D-galactoside galactohydrolase) (Melibiase),FUNCTION: Hydrolyzes melibiose; raffinose and stachyose in the following decreasing order of reactivity: raffinose; melibiose; stachyose (PubMed:12423882). Acts on both the terminal alpha-galactosyl residue and the side-chain alpha-galactosyl residue of the galactomanno-oligosaccharides (PubMed:12423882). {ECO:0000269|PubMed:12423882}.
TBP1_ORYSJ,Telomere-binding protein 1 (Protein RTBP1),FUNCTION: Binds the telomeric double-stranded 5'TTTAGGG-3' repeat and regulates telomere length and structure. {ECO:0000269|PubMed:10811811; ECO:0000269|PubMed:17586654}.
EL5_ORYSJ,E3 ubiquitin-protein ligase EL5 (EC 2.3.2.27) (Protein ELICITOR 5) (RING-type E3 ubiquitin transferase EL5),FUNCTION: Functions as an E3 ubiquitin-protein ligase in cooperation with the E2 ubiquitin conjugating enzymes UBC5A and UBC5B. Involved in root development. Required for the maintenance of cell viability after the initiation of root primordial formation. May mediate the degradation of cytotoxic proteins produced in root cells after the actions of auxin; cytokinin and jasmonic acid. Mediates 'Lys-48'-linked polyubiquitination of MBP in vitro. {ECO:0000269|PubMed:12028574; ECO:0000269|PubMed:16186120; ECO:0000269|PubMed:17559513; ECO:0000269|PubMed:19704739}.
RAC1_ORYSJ,Rac-like GTP-binding protein 1 (OsRac1),FUNCTION: Small GTPase playing a general role in disease resistance signaling pathway. Acts downstream of heterotrimeric G protein alpha subunit. Regulates cell death and reactive oxygen species production; probably through NADPH oxidase. Also involved in sphingolipid elicitor (SE)-dependent defense signaling. Activates phytoalexin production and alters defense-related genes. Down-regulates metallothionein 2b; a reactive oxygen scavenger (PubMed:10485927; PubMed:11149940; PubMed:12237405; PubMed:15220467). May control lignin synthesis through regulation of both NADPH oxidase and CCR1 activities during defense responses. Stimulates lignin synthesis in suspension cell culture (PubMed:15951489). {ECO:0000269|PubMed:10485927; ECO:0000269|PubMed:11149940; ECO:0000269|PubMed:12237405; ECO:0000269|PubMed:15220467; ECO:0000269|PubMed:15951489}.
